dataset,single,10,20,30,40,50,60,70,80,90,100
AA,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
AC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AI,0.222,0.2,0.212,0.215,0.197,0.211,0.222,0.178,0.14,0.1,0.108
AJ,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
AQ,0,0,0,0,0,0,0,0,0,0,0
AW,0.062,0.041,0.045,0.05,0.057,0.067,0.068,0.077,0.089,0.095,0.103
BA,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
BB,0.316,0.2,0.2,0.105,0.105,0.105,0.105,0.111,0.118,0.133,0.143
BC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BJ,0.667,0.545,0.545,0.545,0.75,0.857,0.857,0.857,0.857,0.857,0.857
