edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05
China->USA,4100, 3844, 211, 500, 0, 0
China->Singapore,3600, 3148, 0, 0, 0, 0
China->Taiwan,4100, 1500, 100, 348, 0, 0
China->Australia,1800, 3503, 300, 0, 0, 0
China->Thailand,3700, 1200, 0, 0, 0, 0
China->HongKong,2997, 1400, 0, 0, 0, 0
China->UnitedArabEmirates,1900, 1800, 200, 248, 0, 0
China->SouthKorea,1800, 2248, 0, 0, 0, 0
USA->Taiwan,500, 600, 2100, 752, 0, 0
USA->Canada,300, 600, 1600, 1400, 0, 0
Sweden->Russia,400, 800, 1587, 800, 200, 0
USA->Australia,427, 600, 1700, 900, 0, 0
Singapore->India,0, 800, 1400, 1400, 0, 0
Sweden->UnitedArabEmirates,500, 1300, 1711, 0, 0, 0
France->USA,0, 100, 2992, 400, 0, 0
China->Malaysia,1800, 1100, 300, 100, 0, 0
SaudiArabia->Turkey,0, 300, 900, 2100, 0, 0
Italy->Switzerland,400, 500, 1873, 300, 0, 0
Singapore->Malaysia,400, 770, 900, 1000, 0, 0
China->Japan,1511, 1400, 100, 0, 0, 0
India->Singapore,200, 800, 1600, 400, 0, 0
France->Luxembourg,0, 396, 1609, 896, 0, 0
Poland->Belgium,100, 0, 1000, 1800, 0, 0
Spain->Argentina,500, 200, 1500, 500, 0, 0
China->Oman,1600, 900, 200, 0, 0, 0
Germany->Netherlands,700, 300, 1400, 300, 0, 0
France->Israel,0, 400, 1900, 400, 0, 0
USA->France,320, 300, 1514, 500, 0, 0
France->Senegal,0, 100, 1200, 1300, 0, 0
Germany->Belgium,600, 100, 1500, 300, 0, 0
Sweden->Latvia,500, 400, 888, 700, 0, 0
Russia->Italy,0, 712, 1301, 400, 0, 0
UnitedKingdom->Singapore,0, 400, 1302, 700, 0, 0
Italy->Germany,400, 300, 1500, 200, 0, 0
Spain->Chile,500, 200, 1500, 200, 0, 0
Sweden->USA,200, 1000, 900, 200, 100, 0
India->Malaysia,100, 800, 600, 900, 0, 0
France->Germany,0, 896, 1296, 200, 0, 0
France->Australia,197, 400, 1093, 692, 0, 0
Italy->Netherlands,300, 312, 1526, 236, 0, 0
Sweden->Denmark,200, 100, 300, 1700, 0, 0
India->Australia,100, 900, 900, 400, 0, 0
UnitedKingdom->NewZealand,200, 300, 1500, 289, 0, 0
Switzerland->UnitedKingdom,200, 100, 1160, 802, 0, 0
UnitedKingdom->Switzerland,200, 400, 1202, 426, 0, 0
Netherlands->Belgium,200, 100, 803, 1103, 0, 0
Spain->Hungary,300, 200, 1500, 200, 0, 0
Germany->Canada,100, 0, 1700, 400, 0, 0
SouthKorea->China,0, 2200, 0, 0, 0, 0
Brazil->Chile,0, 300, 1000, 900, 0, 0
